clock,value
1528,1617
1529,1545
1530,1419
1531,1473
1532,1878
1533,1896
1534,1815
1535,1725
1536,1617
1537,1749
1538,1689
1539,1551
1540,1491
1541,1437
1542,1419
1543,1419
1544,1401
1545,1358
1546,1246
1547,1214
1548,1113
1549,1113
1550,990
1551,910
1552,894
1553,866
1554,862
1555,784
1556,800
1557,814
1558,846
1559,798
1560,846
1561,846
1562,816
1563,818
1564,894
1565,878
1566,894
1567,942
1568,990
1569,1070
1570,1042
1571,1138
1572,1150
1573,1419
1574,1437
1575,1437
1576,1419
1577,1455
1578,1419
1579,1419
1580,1419
1581,1635
1582,1419
1583,1878
1584,1419
1585,1653
1586,1725
1587,1545
1588,1491
1589,1419
1590,1671
1591,1695
1592,1671
1593,1671
1594,1527
1595,1473
1596,1527
1597,1605
1598,1581
1599,1689
1600,2067
1601,1941
1602,1743
1603,1626
1604,1761
1605,1626
1606,1563
1607,1455
1608,1407
1609,1419
1610,1419
1611,1401
1612,1218
1613,1246
1614,1166
1615,976
1616,990
1617,910
1618,862
1619,878
1620,862
1621,878
1622,848
1623,894
1624,846
1625,834
1626,878
1627,850
1628,958
1629,926
1630,926
1631,1006
1632,1070
1633,1113
1634,1230
1635,1437
1636,1401
1637,1425
1638,1437
1639,1419
1640,1419
1641,1419
1642,1419
1643,1419
1644,1419
1645,1761
1646,1815
1647,1815
1648,1617
1649,1707
1650,1626
1651,1617
1652,1473
1653,1509
1654,1551
1655,1491
1656,1545
1657,1545
1658,1617
1659,1581
1660,1725
1661,1581
1662,1983
1663,1905
1664,1689
1665,1797
1666,1671
1667,1635
1668,1527
1669,1419
1670,1419
1671,1437
1672,1437
1673,1419
1674,1198
1675,1113
1676,1054
1677,994
1678,1022
1679,942
1680,926
1681,850
1682,878
1683,862
1684,846
1685,814
1686,802
1687,846
1688,798
1689,846
1690,846
1691,846
1692,846
1693,846
1694,798
1695,798
1696,798
1697,786
1698,878
1699,878
1700,878
1701,878
1702,786
1703,798
1704,798
1705,798
1706,798
1707,798
1708,798
1709,846
1710,846
1711,846
1712,846
1713,846
1714,784
1715,784
1716,784
1717,784
1718,784
1719,802
1720,802
1721,802
1722,802
1723,802
1724,802
1725,784
1726,784
1727,784
1728,784
1729,0
1730,846
1731,846
1732,846
1733,846
1734,846
1735,0
1736,846
1737,846
1738,846
1739,846
1740,846
1741,0
1742,846
1743,802
1744,802
1745,802
1746,802
1747,0
1748,802
1749,802
1750,802
1751,802
1752,802
1753,802
1754,0
1755,0
1756,814
1757,814
1758,814
1759,814
1760,814
1761,814
1762,814
1763,814
1764,814
1765,814
1766,814
1767,814
1768,814
1769,814
1770,814
1771,814
1772,814
1773,814
1774,814
1775,814
1776,814
1777,814
1778,814
1779,814
1780,814
1781,862
1782,862
1783,862
1784,862
1785,862
1786,862
1787,862
1788,862
1789,862
1790,862
1791,862
1792,862
1793,862
1794,862
1795,862
1796,862
1797,862
1798,862
1799,862
1800,862
1801,862
1802,862
1803,862
1804,800
1805,800
1806,800
1807,800
1808,800
1809,800
1810,800
1811,800
1812,800
1813,800
1814,818
1815,818
1816,818
1817,818
1818,818
1819,818
1820,818
1821,818
1822,818
1823,818
1824,818
1825,818
1826,818
1827,818
1828,818
1829,857
1830,857
1831,857
1832,857
1833,857
1834,857
1835,857
1836,857
1837,857
1838,857
1839,857
1840,857
1841,857
1842,857
1843,857
1844,857
1845,857
1846,857
1847,857
1848,857
1849,857
1850,857
1851,857
1852,857
1853,857
1854,857
1855,857
1856,857
1857,857
1858,857
1859,857
1860,857
1861,857
1862,857
1863,857
1864,857
1865,857
1866,857
1867,857
1868,857
1869,818
1870,818
1871,818
1872,818
1873,818
1874,818
1875,818
1876,818
1877,818
1878,818
1879,818
1880,818
1881,818
1882,818
1883,818
1884,818
1885,818
1886,818
1887,818
1888,818
1889,818
1890,818
1891,818
1892,818
1893,818
1894,818
1895,818
1896,818
1897,818
1898,818
1899,818
1900,818
1901,818
1902,818
1903,818
1904,818
1905,818
1906,800
1907,800
1908,800
1909,800
1910,800
1911,800
1912,800
1913,800
1914,800
1915,800
1916,800
1917,800
1918,800
1919,800
1920,800
1921,800
1922,800
1923,800
1924,800
1925,800
1926,800
1927,800
1928,800
1929,800
1930,800
1931,800
1932,862
1933,862
1934,814
1935,814
1936,846
1937,816
1938,818
1939,814
1940,834
1941,880
1942,910
1943,958
1944,978
1945,1113
1946,1113
1947,1278
1948,1401
1949,1437
1950,1401
1951,1407
1952,1419
1953,1419
1954,1419
1955,1419
1956,1761
1957,1509
1958,1491
1959,1626
1960,1419
1961,1635
1962,1509
1963,1419
1964,1419
1965,1455
1966,1491
1967,1491
1968,1419
1969,1419
1970,1491
1971,1491
1972,1653
1973,1653
1974,1527
1975,1581
1976,1563
1977,1887
1978,1833
1979,1626
1980,1725
1981,1626
1982,1491
1983,1407
1984,1419
1985,1437
1986,1419
1987,1401
1988,1310
1989,1138
1990,1102
1991,1006
1992,942
1993,910
1994,942
1995,878
1996,862
1997,846
1998,814
1999,846
2000,798
2001,798
2002,846
2003,802
2004,802
2005,846
2006,846
2007,846
2008,798
2009,878
2010,857
2011,862
2012,832
2013,878
2014,880
2015,910
2016,944
2017,1006
2018,990
2019,1042
2020,1170
2021,1294
2022,1437
2023,1437
2024,1419
2025,1437
2026,1527
2027,1626
2028,1419
2029,1563
2030,1419
2031,1785
2032,1887
2033,1491
2034,1419
2035,1563
2036,1581
2037,1419
2038,1581
2039,1545
2040,1473
2041,1527
2042,1581
2043,1695
2044,1626
2045,2103
2046,1635
2047,1977
2048,1941
2049,1743
2050,1761
2051,1653
2052,1419
2053,1419
2054,1437
2055,1425
2056,1419
2057,1401
2058,1310
2059,1278
2060,1150
2061,1102
2062,994
2063,1022
2064,990
2065,942
2066,864
2067,878
2068,818
2069,846
2070,862
2071,782
2072,800
2073,814
2074,862
2075,800
2076,818
2077,818
2078,862
2079,814
2080,846
2081,857
