date	accel	sonar
619	1935	
620	1950	
620	1950	8390
621	1959	
622	1969	
623	1985	
624	1969	
624	1969	8398
625	1945	
626	1910	
627	1925	
628	1939	
628	1939	8432
629	1928	
630	1917	
631	1913	
631	1913	8384
632	1926	
633	1929	
634	1938	
635	1964	
635	1964	8348
636	1971	
637	1967	
638	1945	
639	1948	
639	1948	8426
640	1942	
641	1887	
642	1870	
643	1892	
643	1892	8376
644	1962	
645	1992	
646	2001	
646	2001	8384
647	1967	
648	1949	
649	1936	
650	1961	
650	1961	8334
651	1980	
652	1990	
653	2000	
654	2001	
654	2001	8418
655	1981	
656	1945	
657	1950	
657	1950	8370
658	1968	
659	1964	
660	1964	
661	1992	
661	1992	8370
662	2026	
663	2023	
664	1987	
665	1978	
665	1978	8334
666	1983	
667	1997	
668	2029	
669	2036	
669	2036	8328
670	2022	
671	1995	
672	1983	
672	1983	8370
673	1984	
674	1970	
675	1954	
676	1938	
676	1938	8376
677	1957	
678	1970	
679	1994	
680	1999	
680	1999	8418
681	1988	
682	1981	
683	1965	
683	1965	8418
684	1941	
685	1933	
686	1937	
687	1951	
687	1951	8370
688	1946	
689	1940	
690	1952	
691	1955	
691	1955	8334
692	1942	
693	1942	
694	1972	
695	1975	
695	1975	8370
696	1974	
697	1977	
698	1975	
698	1975	8320
699	1983	
700	2001	
701	2008	
702	2012	
702	2012	8356
703	2021	
704	2015	
705	2005	
706	1973	
706	1973	8314
707	1972	
708	1979	
709	1989	
709	1989	8398
710	2053	
711	2075	
712	2084	
713	2071	
713	2071	8356
714	2055	
715	2001	
716	1984	
717	1980	
717	1980	8356
718	1991	
719	1970	
720	1966	
721	1976	
721	1976	8404
722	1980	
723	2000	
724	1995	
725	1984	
725	1984	8398
726	1978	
727	1988	
728	2004	
728	2004	8362
729	2004	
730	2005	
731	2027	
732	2026	
732	2026	8356
733	2018	
734	2017	
735	2020	
736	2029	
736	2029	8356
737	2034	
738	2017	
739	1971	
739	1971	8306
740	1965	
741	1970	
742	2014	
743	2061	
743	2061	8314
744	2066	
745	2058	
746	2039	
747	2042	
747	2042	8356
748	2039	
749	2023	
750	2015	
751	2031	
751	2031	8356
752	2040	
753	2037	
754	2025	
754	2025	8404
755	2028	
756	2037	
757	2037	
758	2022	
758	2022	8362
759	2012	
760	1986	
761	1975	
762	1972	
762	1972	8362
763	1988	
764	1994	
765	1998	
765	1998	8370
766	2001	
767	2004	
768	2004	
769	2004	
769	2004	8370
770	1999	
771	1994	
772	1997	
773	1998	
773	1998	8320
774	1997	
775	2016	
776	2029	
776	2029	8328
777	2054	
778	2022	
779	2001	
780	1975	
780	1975	8370
781	1969	
782	1967	
783	1976	
784	1974	
784	1974	8412
785	1975	
786	1981	
787	2004	
788	2012	
788	2012	8370
789	2026	
790	2038	
791	2023	
791	2023	8412
792	1971	
793	1949	
794	1941	
795	1953	
795	1953	8334
796	1962	
797	1986	
798	2009	
799	2024	
799	2024	8342
800	2020	
801	2007	
802	1963	
802	1963	8376
803	1951	
804	1950	
805	1945	
806	1946	
806	1946	8376
807	1985	
808	2031	
809	2042	
810	2029	
810	2029	8384
811	2000	
812	1971	
813	1939	
814	1902	
814	1902	8384
815	1951	
816	1969	
817	1966	
817	1966	8342
818	1967	
819	1968	
820	1965	
821	1964	
821	1964	8342
822	1951	
823	1941	
824	1955	
825	1995	
825	1995	8426
826	2014	
827	2006	
828	1999	
828	1999	8376
829	1996	
830	1995	
831	1985	
832	1983	
832	1983	8376
833	1986	
834	1987	
835	1986	
836	1980	
836	1980	8376
837	1964	
838	1959	
839	1966	
840	2013	
840	2013	8418
841	2072	
842	2096	
843	2099	
843	2099	8412
844	2075	
845	2044	
846	2000	
847	1963	
847	1963	8376
848	1955	
849	1985	
850	2013	
851	2033	
851	2033	8334
852	2042	
853	2025	
854	2013	
855	1986	
855	1986	8370
856	1966	
857	1974	
858	2015	
858	2015	8342
859	2022	
860	2012	
861	1992	
862	2005	
862	2005	8342
863	2013	
864	2016	
865	2007	
866	2016	
866	2016	8432
867	2013	
868	1981	
869	1949	
869	1949	8348
870	1942	
871	1940	
872	1944	
873	1986	
873	1986	8348
874	2038	
875	2044	
876	2029	
877	1984	
877	1984	8390
878	1965	
879	1937	
880	1923	
881	1936	
881	1936	8384
882	1973	
883	1948	
884	1946	
884	1946	8348
885	1962	
886	1983	
887	1994	
888	2005	
888	2005	8348
889	1990	
890	1977	
891	1974	
892	1962	
892	1962	8376
893	1969	
894	2009	
895	2013	
896	2021	
896	2021	8376
897	2019	
898	2034	
899	2041	
899	2041	8334
900	2042	
901	2020	
902	2007	
903	2005	
903	2005	8370
904	1990	
905	1983	
906	1999	
907	2053	
907	2053	8370
908	2084	
909	2125	
910	2087	
910	2087	8418
911	2049	
912	2003	
913	2009	
914	2021	
914	2021	8362
915	2040	
916	2051	
917	2057	
918	2051	
918	2051	8362
919	2043	
920	2048	
921	2039	
922	2022	
922	2022	8362
923	2016	
924	2015	
925	2001	
925	2001	8362
926	2009	
927	2035	
928	2029	
929	2014	
929	2014	8362
930	2011	
931	2031	
932	2039	
933	2046	
933	2046	8328
934	2031	
935	2029	
936	2020	
936	2020	8320
937	2004	
938	1987	
939	1993	
940	2037	
940	2037	8376
941	2053	
942	2086	
943	2065	
944	2034	
944	2034	8320
945	2010	
946	2048	
947	2076	
948	2090	
948	2090	8320
949	2077	
950	2050	
951	2002	
951	2002	8356
952	1986	
953	1961	
954	1993	
955	2030	
955	2030	8320
956	2053	
957	2076	
958	2061	
959	2043	
959	2043	8328
960	2000	
961	1992	
962	2006	
962	2006	8328
963	2035	
964	2056	
965	2089	
966	2077	
966	2077	8356
967	2056	
968	1987	
969	1903	
970	1906	
970	1906	8370
971	1933	
972	2018	
973	2058	
974	2060	
974	2060	8404
975	2047	
976	2030	
977	2019	
977	2019	8370
978	1984	
979	1966	
980	1942	
981	1938	
